"","c(1:nrow(cleanDat))","rownames(cleanDat)","net$colors","kMEmagenta","kMEturquoise","kMEblack","kMEred","kMEbrown","kMEyellow","kMEgreen","kMEblue","kMEpink","kMEtableSortVector"
"ERCC4|2072",5103,"ERCC4|2072","turquoise",0.127637813701168,0.772190257438343,-0.035169722887216,0.080229905666695,0.0507072679402193,-0.0134680202789968,-0.450776407229354,-0.737120785413025,-0.49487998965106,"M1 turquoise|0.7722"
"43896|10299",9364,"43896|10299","turquoise",0.323022347660971,0.772186345463867,-0.169467957406325,0.0168950751145022,-0.226634880651475,-0.141017663388701,-0.104422284533308,-0.666630434098925,-0.3442146179859,"M1 turquoise|0.7722"
"GSK3B|2932",6694,"GSK3B|2932","turquoise",0.369115519566977,0.772037767802919,-0.295303170970214,-0.144563742866757,-0.264925885429225,-0.234261083947648,-0.4993438312062,-0.636070555450014,-0.296474787150508,"M1 turquoise|0.772"
"BARD1|580",1276,"BARD1|580","turquoise",0.205450680002476,0.771399862684634,0.0688053281188923,0.160432622101976,0.102564906412281,0.129180605962422,-0.277236607039704,-0.737517657219727,-0.507253580870405,"M1 turquoise|0.7714"
"JMJD1C|221037",7770,"JMJD1C|221037","turquoise",0.153672306423075,0.771328427803386,0.0688452709614234,0.150541159879859,0.0617455282590093,0.096723383596297,-0.255108093487992,-0.784633559195659,-0.381906137844895,"M1 turquoise|0.7713"
"BAT2L2|23215",1283,"BAT2L2|23215","turquoise",-0.00943979205923825,0.77069123220592,0.0871034750105676,0.167868773373258,0.109356659756334,0.0732372210717083,-0.326083088733255,-0.778315765079326,-0.577366299954663,"M1 turquoise|0.7707"
"TNKS2|80351",15882,"TNKS2|80351","turquoise",0.0503073146293871,0.770633759990915,-0.0210163627373136,0.0296894346231943,0.0156608012105143,-0.0830147323550192,-0.341136015924368,-0.763788638679696,-0.426905831560757,"M1 turquoise|0.7706"
"PARD3B|117583",11153,"PARD3B|117583","turquoise",0.0368052877976555,0.770486883761448,-0.126333408477555,0.0681020356085419,0.0533428583705777,0.00744319896945589,-0.372106147820756,-0.70596217430624,-0.560728495446025,"M1 turquoise|0.7705"
"ZNF829|374899",17717,"ZNF829|374899","turquoise",0.256334020158087,0.770457435889724,-0.0839573594080256,0.0860415697176133,-0.0608507896972116,-0.00865723863681941,-0.201002323407619,-0.671923380539542,-0.412438378578374,"M1 turquoise|0.7705"
"RGP1|9827",12940,"RGP1|9827","turquoise",0.0439933853141141,0.770253025560739,0.0228555424025453,0.0830596918914695,0.00949289150977635,-0.0197069032410216,-0.344015557572193,-0.726599339664204,-0.6294881103348,"M1 turquoise|0.7703"
"EPC1|80314",5049,"EPC1|80314","turquoise",-0.0397789648705087,0.770145778014133,0.165087520265429,0.119321953672334,0.169619678957339,0.00139451620843625,-0.190692626101984,-0.738175390748983,-0.491255981693636,"M1 turquoise|0.7701"
"ZBTB33|10009",17062,"ZBTB33|10009","turquoise",0.28453913372265,0.768861527268957,-0.138258721766668,0.00132228532138966,-0.166193615094785,-0.196740677336266,-0.465784391958585,-0.6798597044826,-0.269633342349159,"M1 turquoise|0.7689"
"BMPR2|659",1430,"BMPR2|659","turquoise",0.0250610127221992,0.768273642955577,0.0885169938134835,0.142501347385048,0.173979268667718,0.168642048253386,-0.492314319447611,-0.796167629483405,-0.52870862588599,"M1 turquoise|0.7683"
"NUP205|23165",10827,"NUP205|23165","turquoise",0.419200247158801,0.768205889862922,-0.135919378216371,0.0867974544283409,-0.16072958931304,-0.0763307936202226,-0.263204916040249,-0.672284399866981,-0.321744693914349,"M1 turquoise|0.7682"
"ARHGAP5|394",865,"ARHGAP5|394","turquoise",0.030544790704073,0.767730373250418,0.135097599069473,0.169807464350467,0.156590860288559,0.11132599409481,-0.427699042441627,-0.801495847508619,-0.474546673601672,"M1 turquoise|0.7677"
"PDP2|57546",11397,"PDP2|57546","turquoise",0.0505087812647452,0.767260458513388,-0.0627754482441407,-0.0234211465120736,0.00401934548694995,-0.122676821629118,-0.447598368414799,-0.708354742780954,-0.547335392641097,"M1 turquoise|0.7673"
"TCF12|6938",15279,"TCF12|6938","turquoise",0.00868695195823653,0.76707790778142,0.00381653294406706,0.083959924977624,0.212201325711106,0.0893028206893202,-0.464253361867131,-0.772470873040465,-0.463724258014661,"M1 turquoise|0.7671"
